Course,KSA,KSA Description,Category,Objective
CIT130,909,Skill in processing collected data for follow-on analysis,Computer Skills,
CIT130,910,Knowledge of database theory,Data Management,
CIT130,911,Ability to interpret and translate customer requirements into operational cyber actions,Requirements Analysis,
CIT130,912,"Knowledge of collection management processes, capabilities, and limitations",Configuration Management,
CIT130,913,Knowledge of how passive and active collections supplement each other,Information Management,
CIT130,914,Skill in identifying gaps in cyber collection capabilities,Strategic Thinking,
CIT130,915,"Knowledge of front-end collection systems, including network traffic collection, filtering, and selection.",Information Systems/Network Security,
CIT130,916,Skill in deconflicting cyber operations and activities,Political Savvy,
CIT130,917,Knowledge of social dynamics of computer attackers in a global context,External Awareness,
CIT130,918,"Ability to prepare and deliver education and awareness briefings to ensure that systems, network, and data users are aware of and adhere to systems security policies and procedures",Teaching Others,
CIT130,920,"Knowledge of threat list countries? cyber capabilities, intent, opportunities, and presence",External Awareness,
CIT130,921,Ability to identify possible threat actor uses of a new technology,Technology Awareness,
CIT130,922,Skill in using network analysis tools to identify vulnerabilities,Vulnerabilities Assessment,
CIT130,923,Knowledge of security event correlation tools,Information Systems/Network Security,
CIT130,942,Knowledge of the organization's core business/mission processes,Organizational Awareness,
CIT130,950,Skill in evaluating test plans for applicability and completeness,Systems Testing and Evaluation,
CIT130,952,"Knowledge of emerging security issues, risks, and vulnerabilities",Technology Awareness,12. Understand the security aspects of data communications and implications in implementing and managing communications resources 
CIT130,954,Knowledge of Export Control regulations and responsible agencies for the purpose of reducing supply chain risk,Contracting/Procurement,
CIT130,965,Knowledge of organization's risk tolerance and/or risk management approach,Risk Management,
CIT130,966,"Knowledge of enterprise incident response program, roles, and responsibilities",Incident Management,
CIT130,967,Knowledge of current and emerging threats/threat vectors,Information Systems/Network Security,
CIT130,968,"Knowledge of software-related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization)",Information Systems/Network Security,
CIT130,973,Skill in using code analysis tools to eradicate bugs,Software Development,
CIT130,974,Ability to tailor code analysis for application-specific concerns,Software Testing and Evaluation,
CIT130,975,Skill in integrating black box security testing tools into quality assurance process of software releases,Quality Assurance,
CIT130,976,Knowledge of software quality assurance process,Software Engineering,
CIT130,978,Knowledge of root cause analysis for incidents,Incident Management,
CIT130,979,Knowledge of supply chain risk management processes and practices,Risk Management,
CIT130,980,Skill in performing root cause analysis for incidents,Incident Management,
CIT130,981,Knowledge of International Traffic in Arms Regulation (ITARs) and relevance to cybersecurity,Criminal Law,
CIT130,982,Knowledge of electronic evidence law,Criminal Law,
CIT130,984,"Knowledge of computer network defense (CND) policies, procedures, and regulations",Computer Network Defense,
CIT130,985,"Skill in configuring and utilizing network protection components (e.g., firewalls, Virtual Private Networks [VPNs], network Intrusion Detection Systems [IDSs])",Configuration Management,
CIT130,986,"Knowledge of organizational information technology (IT) user security policies (e..g, account creation, password rules, access control)",Identity Management,12. Understand the security aspects of data communications and implications in implementing and managing communications resources 
CIT130,989,Knowledge of Voice over Internet Protocol (VoIP),Telecommunications,"4. Discuss the structure and components of business phone and data networks, "
CIT130,990,Knowledge of common attack vectors on the network layer,Computer Network Defense,
CIT130,991,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution)",Computer Network Defense,
CIT130,992,"Knowledge of different operational threat environments (e.g., first generation [script kiddies], second generation [non-nation state sponsored], third generation [nation state sponsored]",Computer Network Defense,
CIT130,993,"Knowledge of the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DODAF], Federal Enterprise Architecture Framework [FEAF])",Enterprise Architecture,
CIT130,1002,Skill in conducting audits or reviews of technical systems,Information Technology Performance Assessment,
CIT130,1004,Knowledge of critical information technology (IT) procrement requirements,Contracting/Procurement,
CIT130,1005,"Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes)",Contracting/Procurement,
CIT130,1007,Skills in data reduction,Data Management,
CIT130,1008,Knowledge of how to troubleshoot basic systems and identify operating systems-related issues,Operating Systems, 
CIT130,1011,Knowledge of processes for reporting network security related incidents,Security,
CIT130,1012,Knowledge of Capabilities and Maturity Model Integration (CMMI) at all five levels,Internal Controls,
CIT130,1020,"Skill in secure test plan deisn (i.e., unit, integration, system, acceptance)",Systems Testing and Evaluation,
CIT130,1021,Knowledge of threat assessment,Risk Management,
CIT130,1022,Knowledge of the nature and function of the relevant information structure ,Enterprise Architecture,
CIT130,1029,Knowledge of malware analysis concepts and methodology,Computer Network Defense,
CIT130,1033,"Knowledge of basic system administration, network, and operating system hardening techniques",Information Systems/Network Security,
CIT130,1034,Knowledge of Personally Identifiable Information (PII) and Payment Card Industry (PCI) data security standards,Security,3. Explain and identify the role of standards and standards organizations in the data communications market place   12. Understand the security aspects of data communications and implications in implementing and managing communications resources 
CIT130,1036,"Knowledge of applicable laws (e.g., Electronic Communications Privacy Act, Foreign Intelligence Surveillance Act, Protect America Act, search and seizure laws, civil liberties and privacy laws), U.S. Statutes (e.g., in Titles 10, 18, 32, 50 in U.S Code), Presidential Directives, executive branch guidelines, and/or administrative/crimial legal guidelines and procedures relevant to work performed",Criminal Law,
CIT130,1037,"Knowledge of information technology (IT) supply chain security/risk management policies, requirements, and procedures",Risk Management,
CIT130,1038,"Knowledge of local specialized system requirements (e.g., critical infrastructure systems that may not use standard information technology [IT]) for safety, performance, and reliability)",Infrastructure Design, 
CIT130,1039,Skill in evaluating the trustworthiness of the supplier and/or product,Contracting/Procurement,
CIT130,1040,"Knowledge of relevant laws, policies, procedures ,or governance as they relate to work that may impact critical infrastructure",Criminal Law,
CIT130,1042,Abililty to apply network programming towards client/server model,Requirements Analysis,
CIT130,1044,Skill in identifying forensic footprints,Computer Forensics,
CIT130,1047,Skill in writing kernel level applications,Software Development,
CIT130,1052,Knowledge of Global Systems for Mobile Communications (GSM) architecture,Telecommunications,
CIT130,1054,Knowledge of hardware reverse engineering techniques,Vulnerabilities Assessment,
CIT130,1055,Knowledge of middleware,Software Development,
CIT130,1056,Knowledge of operations security,Public Safety and Security,
CIT130,1059,Knowledge of networking protocols,Infrastructure Design,"4. Discuss the structure and components of business phone and data networks  6. Describe the operation of common Local Area and Wide Area network protocols  , 9. Review the history and operations of the TCP/IP protocol suite "
CIT130,1061,Knowledge of the lifecycle process,Systems Life Cycle,
CIT130,1062,Knowledge of software reverse engineering techniques,Vulnerabilities Assessment,
CIT130,1063,"Knowledge of Unix/Linux operating system structure and internals (e.g., process management, directory structure, installed applications)",Operating Systems,
CIT130,1064,Knowledge of Extensible Markup Language (XML) schemas,Infrastructure Design,
CIT130,1066,"Skill in utlilizing exploitation tools (e.g., Foundstone, fuzzers, packet sniffers, debug) to identify system/software vulnerabilities (penetration and testing)",Vulnerabilities Assessment,
CIT130,1067,Skill in utlilizing network analysis tools to identify software communications vulnerabilities,Vulnerabilities Assessment,
CIT130,1069,"Knowledge of general attack stages (e.g., footprinting and scanning, enumeration, gaining access, escalation or privileges, maintaining access, network exploitation, covering tracks)",Computer Network Defense,
CIT130,1069,"Knowledge of general attack stages (e.g., footprinting and scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks)",Computer Network Defense,
CIT130,1070,"Ability to determine impact of technology trend data on laws, regulations, and/or policies","Legal, Government and Jurisprudence",
CIT130,1071,"Knowledge of secure software deployment methodologies, tools, and practices",Software Engineering,
CIT130,1072,"Knowledge of network security architecture concepts, including topology, protocols, components, and principles (e.g., application of defense-in-depth)",Information Systems/Network Security,"6. Describe the operation of common Local Area and Wide Area network protocols  7. Demonstrate knowledge of media, topologies, hub/switches, routers, and network interface cards "
CIT130,1073,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools",Network Management,
CIT130,1074,"Knowledge of transmission records (e.g., Bluetooth, Radio Frequency Identification [RFID], Infrared Networking [IR], Wireless Fiedelity [Wi-Fi]. paging, cellular, satellite dishes), and jamming techniques that enable transmission of undesirable information, or prevent installed systems from operating correctly ",Telecommunications,
CIT130,1086,"Knowledge of data carving tools and techniques (e.g., Foremost)",Computer Forensics,
CIT130,1087,"Skill in deep analysis of captured malicious code (e.g., malware forensics)",Computer Network Defense,
CIT130,1088,"Skill in using binary analysis tools (e.g., Hexedit, command code xxd, hexdump)",Computer Languages,
CIT130,1089,Knowledge of reverse engineering concepts,Vulnerabilities Assessment,
CIT130,1091,"Skill in one way hash functions (e.g., Secure Hash Algorithm [SHA], Message Direct Algorithm [MD5])",Data Management,
CIT130,1092,"Knowledge of anti-forensics tactics, techniques, and procedures (TTPs)",Computer Forensics,
CIT130,1093,"Knowledge of common forensic tool configuration and support applications (e.g., VMWare, Wireshark)",Computer Forensics,
CIT130,1094,Knowledge of debugging procedures and tools,Software Development,
CIT130,1095,Knowledge of how different file types can be used for anomalous behavior,Vulnerabilities Assessment,
CIT130,1096,"Knowledge of malware analysis tools (e.g., Oily Debug, Ida Pro)",Computer Network Defense,
CIT130,1097,"Knowledge of virtual machine aware malware, debugger aware malware, and packing",Computer Network Defense,
CIT130,1098,Skill in analyzing anomalous code as malcious or benign,Computer Network Defense,
CIT130,1099,Skill in analyzing volatile data,Computer Forensics,
CIT130,1100,Skill in identifying obfusification techniques,Computer Network Defense,
CIT130,1101,"Skill in interpreting results of debugger to ascertain tactics, techniques, and procedures",Computer Network Defense,
CIT130,1114,Knowledge of encryption methodologies,Cryptography,
CIT130,1115,Skill in reading Hexadecimal data,Computer Languages,
CIT130,1116,"Skill in identifying common encoding techniques (e.g., Exclusive Disjunction [XOR], American Standard Code for Information Interchange [ASCII], Unicode, Base64, Uuencode, Uniform Resource Locator [URL] encode)",Computer Languages,
CIT130,1117,Skill in utilizing virtual networks for testing,Operating Systems,
CIT130,1118,"Skill in reading and interpreting signatures (e.g., Snort)",Information Systems/Network Security,
CIT130,1119,Knowledge of signature implementation impact,Information Systems/Network Security,
CIT130,1120,Ability to interpret and incorporate data from multiple tool sources ,Data Management,
CIT130,1121,Knowledge of Windows/Unix ports and services,Operating Systems,14. Describe Network Operating Systems 
CIT135,135,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines)",Data Management,10. Student should gain an exposure to e-commerce and databases
CIT135,70,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption)",Information Systems/Network Security,11. Student should gain an exposure to issues surrounding computer and data security
CIT135,123,Knowledge of system and application security threats and vulnerabilities ,Vulnerabilities Assessment,11. Student should gain an exposure to issues surrounding computer and data security
CIT135,320,Knowledge of external organizations and academic institutions dealing with cybersecurity issues,External Awareness,11. Student should gain an exposure to issues surrounding computer and data security
CIT135,23,Knowledge of computer programming principles such as object-oriented design,Object Technology,12. Student should gain an understanding of the concept of object oriented design
CIT135,102,Knowledge of programming language structures and logic,Computer Languages,"13. Student should gain an understanding of programming logic, 15. Student should gain an exposure to programming "
CIT135,21,Knowledge of computer algorithms,Mathematical Reasoning,3. Student should gain an understanding of Algorithms
CIT135,1115,Skill in reading Hexadecimal data,Computer Languages,4. Student should gain an understanding of binary and hexadecimal notation and their use in computer systems
CIT135,264,"Knowledge of basic physical computer components and architectures, including the functions of various components and peripherals (e.g., central processing units [CPUs], network interface cards [NICs], data storage)",Computers and Electronics,5. Student should gain an understanding of computer hardware architecture
CIT135,281,"Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, electronic organizers, hard drives, memory cards, modems, network components, printers, removable storage devices, scanners, telephones, copiers, credit card skimmers, facsimile machines, global positioning systems [GPSs])",Hardware,5. Student should gain an understanding of computer hardware architecture
CIT135,1116,"Skill in identifying common encoding techniques (e.g., Exclusive Disjunction [XOR], American Standard Code for Information Interchange [ASCII], Unicode, Base64, Uuencode, Uniform Resource Locator [URL] encode)",Computer Languages,6. Student should gain an understanding of Boolean logic 
CIT135,126,"Knowledge of system software and organizaional design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design",Requirements Analysis,8. Student should gain an understanding of system software and application software
CIT135,92,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP], Open System Interconnection model [OSI], Information Technology Infrastructure Library, v3 [ITIL])",Infrastructure Design,9. Student should gain an understanding of networks and the internet 
CIT135,261,"Knowledge of basic concepts, terminology, and operations of a wide range of communications media (computer and telephony networks, satellite, fiber, wireless)",Telecommunications,9. Student should gain an understanding of networks and the internet 
CIT140,1071,"Knowledge of secure software deployment methodologies, tools, and practices",Software Engineering,Describe the concepts of imaging and deployment
CIT140,126,"Knowledge of system software and organizaional design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design",Requirements Analysis,Describe the function and purpose of various systems software 
CIT140,287,"Knowledge of file system Implementations (e.g., New Technology File System [NTFS], File Allocation Table [FAT], File Extentsion [EXT])",Operating Systems,Explain file system formats
CIT140,90,Knowledge of operating systems,Operating Systems,Explain the functions an operating system performs | Compare and contrast Operating Systems
CIT140,344,Knowledge of virtualization technologies and virtual machine development and maintenance,Operating Systems,Explain virtualization and the relationship with the operating system and hardware
CIT140,122,Knowledge of system administration concepts for Unix/Linux and/or Windows operating systems.,Operating Systems,Perform standard operating system systems administration functions
CIT140,219,Skill in system administration for Unix/Linux operating systems,Operating Systems,Perform standard operating system systems administration functions
CIT140,28,Knowledge of data administration and data standardization policies and standards,Data Management,Use appropriate data representation and conversions  
CIT140,1120,Ability to interpret and incorporate data from multiple tool sources ,Data Management,Use appropriate data representation and conversions  
NET215,87,Knowledge of network traffic analysis methods,Information Systems/Network Security,Analyze performance  of IP-based networks using a packet-sniffer and associated tools. Isolate particular conversations/packets of interest.
NET215,214,"Skill in performing packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump)",Vulnerabilities Assessment,Analyze performance  of IP-based networks using a packet-sniffer and associated tools. Isolate particular conversations/packets of interest.
NET215,233,Skill in using protocol analyzers,Vulnerabilities Assessment,Analyze performance  of IP-based networks using a packet-sniffer and associated tools. Isolate particular conversations/packets of interest.
NET215,234,Skill in using sub-netting tools,Infrastructure Design,"Articulate and construct an IP-based subnet addressing plan, with particular understanding of private vs. public addressing and subnet masks."
NET215,81,"Knowledge of network communication protocols such as TCP/IP, Dynamic Host Configuration, Domain Name Server (DNS), and directory services",Infrastructure Design,"Compare and contrast the TCP/IP protocol suite with other protocol suites, and cite advantages and disadvantages of using TCP/IP."
NET215,92,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP], Open System Interconnection model [OSI], Information Technology Infrastructure Library, v3 [ITIL])",Infrastructure Design,"Compare and contrast the TCP/IP protocol suite with other protocol suites, and cite advantages and disadvantages of using TCP/IP."
NET215,139,"Knowledge of common networking protocols (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP]) and services (e.g., web, mail, Domain Name System [DNS]) and how they interact to provide network communications",Infrastructure Design,"Compare and contrast the TCP/IP protocol suite with other protocol suites, and cite advantages and disadvantages of using TCP/IP."
NET215,50,Knowledge of how network services and protocols interact to provide network communications,Infrastructure Design,"Discuss the protocol operation of the major components of the TCP/IP suite, recognize the data unit formats, and understand basic troubleshooting (including IP, ICMP, ARP, TCP, UDP, FTP, Telnet, Ping, HTTP, SMTP, POP, and DNS)."
NET215,989,Knowledge of Voice over Internet Protocol (VoIP),Telecommunications,"Discuss the protocol operation of the major components of the TCP/IP suite, recognize the data unit formats, and understand basic troubleshooting (including IP, ICMP, ARP, TCP, UDP, FTP, Telnet, Ping, HTTP, SMTP, POP, and DNS)."
NET215,1059,Knowledge of networking protocols,Infrastructure Design,"Discuss the protocol operation of the major components of the TCP/IP suite, recognize the data unit formats, and understand basic troubleshooting (including IP, ICMP, ARP, TCP, UDP, FTP, Telnet, Ping, HTTP, SMTP, POP, and DNS)."
NET215,148,Knowledge of VPN security.,Encryption,"Integrate IPsec, VPNs, VOIP into network design, choosing effective options for particular scenarios."
NET215,237,Skill in using Virtual Private Network (VPN) devices and encryption,Encryption,"Integrate IPsec, VPNs, VOIP into network design, choosing effective options for particular scenarios."
FOR240,217,Skill in preserving evidence integrity according to standard operating procedures or national standards,Computer Forensics,Apply current industry best?practices
FOR240,290,"Knowledge of processes for seizing and preserving digital evidence (e.g., chain of custody)",Forensics,"Articulate the laws applying to the appropriation of computers for forensic analysis, citing what laws are relevant and apply under what circumstances."
FOR240,305,"Knowledge of laws that affect cyber security (e.g., Wiretap Act, Pen/Trap and Trace Statue, Stored Electronic Communication Act)",Forensics,"Articulate the laws applying to the appropriation of computers for forensic analysis, citing what laws are relevant and apply under what circumstances."
FOR240,310,"Knowledge of legal governance related to admissibility (e.g., Federal Rules of Evidence)",Criminal Law,"Articulate the laws applying to the appropriation of computers for forensic analysis, citing what laws are relevant and apply under what circumstances."
FOR240,982,Knowledge of electronic evidence law,Criminal Law,"Articulate the laws applying to the appropriation of computers for forensic analysis, citing what laws are relevant and apply under what circumstances."
FOR240,1036,"Knowledge of applicable laws (e.g., Electronic Communications Privacy Act, Foreign Intelligence Surveillance Act, Protect America Act, search and seizure laws, civil liberties and privacy laws), U.S. Statutes (e.g., in Titles 10, 18, 32, 50 in U.S Code), Presidential Directives, executive branch guidelines, and/or administrative/crimial legal guidelines and procedures relevant to work performed",Criminal Law,"Articulate the laws applying to the appropriation of computers for forensic analysis, citing what laws are relevant and apply under what circumstances."
FOR240,316,"Knowledge of processes for collecting, packaging, transporting and storing electronic evidence to avoid alteration, loss, physical damage or destruction of data.",Criminal Law,"best practices in securing, processing, acquiring, examining and reporting on digital evidence. "
FOR240,381,"Skill in using forensic tool suites (e.g. EnCase, Sleuthkit, Forensic Tool Kit [FTK])",Computer Forensics,current technologies and methods as well as leading edge techniques with practical based projects and research opportunities.
FOR240,24,Knowledge of concepts and practices of processing digital forensic data,Data Management,Demonstrate the ability to perform a basic computer forensic analysis using computer and network?based tools.
FOR240,346,"Knowledge of which system files (e.g. log files, registry files, configuration files) contain relevant information and where to find those system files",Computer Forensics,Demonstrate the ability to perform a basic computer forensic analysis using computer and network?based tools.
FOR240,379,Skill in using common digital forensics tools and techniques,Computer Forensics,Demonstrate the ability to perform a basic computer forensic analysis using computer and network?based tools.
FOR240,302,"Knowledge of investigative implications of hardware, operating systems, and network technologies",Computer Forensics,Describe the role of computer forensics in a criminal investigation.
FOR240,888,Knowledge of types of digital forensics data and how to recognize them,Computer Forensics,Describe the role of computer forensics in a criminal investigation.
FOR240,1093,"Knowledge of common forensic tool configuration and support applications (e.g., VMWare, Wireshark)",Computer Forensics,Describe the role of computer forensics in a criminal investigation.
FOR240,29,"Knowledge of data backup, types of backups (e.g., full, incremental), and recovery concepts and tools",Computer Forensics,Describe the underlying concepts of how data are stored on computers 
FOR240,369,"Skill in collecting, processing, packaging, transporting and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data.",Forensics,"The course content includes best practices in securing, processing, acquiring, examining and reporting on digital evidence. "
NET225,51,"Knowledge of how system components are installed, integrated, and optimized",Systems Integration,1. Describe the components of a web system and the interaction of those components
NET225,149,"Knowledge of web services, including service oriented architecture, Simple Object Access Protocol (SOAP), and web service description language",Web Technology,1.Describe the components of a web system and the interaction of those components
NET225,1042,Abililty to apply network programming towards client/server model,Requirements Analysis,2. Construct simple applications as prototypes or samples of larger systems
NET225,171,Skill in correcting physical and technical problems which impact server performance,Network Management,"3. Analyze connectivity and performance issues in web systems, isolate issues to component level,  and select appropriate measures for resolution"
NET225,202,"Skill in identifying and anticipating server performance, availability, capacity, or configuration problems",Information Technology Performance Assessment,"3. Analyze connectivity and performance issues in web systems, isolate issues to component level,  and select appropriate measures for resolution"
NET225,123,Knowledge of system and application security threats and vulnerabilities ,Vulnerabilities Assessment,4ÿÿÿÿ Describe and analyze security issues in web systems
NET225,4,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data,Vulnerabilities Assessment,4. Describe and analyze security issues in web systems
NET225,139,"Knowledge of common networking protocols (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP]) and services (e.g., web, mail, Domain Name System [DNS]) and how they interact to provide network communications",Infrastructure Design,5. Describe and analyze the networking and web protocols involved in web systems 
NET225,341,"Knowledge of UNIX and Windows systems that provide radius authentication, Domain Name Server, mail, web service, FTP server, DHCP, firewall, and simple network management protocol",Operating Systems,6. Analyze and design web system configurations in relation to the network infrastructure
NET255,76,Knowledge of measures or indicators of system performance and availability,Information Technology Performance Assessment,Analyze operating system performance and develop strategies for dealing with issues
NET255,96,Knowledge of performance tuning tools and techniques,Information Technology Performance Assessment,Analyze operating system performance and develop strategies for dealing with issues
NET255,171,Skill in correcting physical and technical problems which impact server performance,Network Management,Analyze operating system performance and develop strategies for dealing with issues
NET255,202,"Skill in identifying and anticipating server performance, availability, capacity, or configuration problems",Information Technology Performance Assessment,Analyze operating system performance and develop strategies for dealing with issues
NET255,203,"Skill in identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system",Information Technology Performance Assessment,Analyze operating system performance and develop strategies for dealing with issues
NET255,204,Skill in identifying possible causes of degradation of system performance or availability and initiating actions needed to mitigate this degradation,Systems Life Cycle,Analyze operating system performance and develop strategies for dealing with issues
NET255,211,Skill in monitoring and optimizing server performance,Information Technology Performance Assessment,Analyze operating system performance and develop strategies for dealing with issues
NET255,88,Knowledge of new and emerging information technology (IT) and information security technologies,Technology Awareness,"Apply the concepts of the course to legacy, alternative, and emerging systems software"
NET255,89,Knowledge of new technological developments in server administration,Technology Awareness,"Apply the concepts of the course to legacy, alternative, and emerging systems software"
NET255,282,Knowledge of emerging computer-based technology that has potential for exploitation by adversaries,Technology Awareness,"Apply the concepts of the course to legacy, alternative, and emerging systems software"
NET255,364,"Skill in identifying, modifying, and manipulating applicable system components (Window and/or Unix/Linux) (e.g., passwords, user accounts, files)",Operating Systems,Configure essential services on Microsoft Windows and Linux Servers
NET255,90,Knowledge of operating systems,Operating Systems,Discuss and compare  the features of Microsoft Windows and Linux Servers
NET255,1121,Knowledge of Windows/Unix ports and services,Operating Systems,Discuss and compare  the features of Microsoft Windows and Linux Servers
NET255,1063,"Knowledge of Unix/Linux operating system structure and internals (e.g., process management, directory structure, installed applications)",Operating Systems,Discuss and compare the features of Microsoft Windows and Linux Servers
NET255,51,"Knowledge of how system components are installed, integrated, and optimized",Systems Integration,"Install an operating system, making appropriate decisions during the process"
NET255,206,Skill in installing computer and server upgrades,Systems Life Cycle,"Install an operating system, making appropriate decisions during the process"
NET255,127,Knowledge of systems administration concepts,Operating Systems,Perform common systems administration functions
NET255,356,Skill in determining installed patches on various operating systems and identifying patch signatures,Operating Systems,Perform common systems administration functions
NET255,219,Skill in system administration for Unix/Linux operating systems,Operating Systems,"Perform common systems administration functions, Discuss and compare  the features of Microsoft Windows and Linux Servers"
NET255,122,Knowledge of system administration concepts for Unix/Linux and/or Windows operating systems.,Operating Systems,Perform common systems administration functions; Discuss and compare  the features of Microsoft Windows and Linux Servers
NET265,94,Knowledge of parallel and distributed computing concepts,Information Technology Architecture,Administer clients and servers in a distributed environment 
NET265,81,"Knowledge of network communication protocols such as TCP/IP, Dynamic Host Configuration, Domain Name Server (DNS), and directory services",Infrastructure Design,Design and implement a TCP/IP network and some associated services
NET265,113,Knowledge of server and client operating systems,Operating Systems,Install and maintain Microsoft Windows and Linux clients and servers
NET265,139,"Knowledge of common networking protocols (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP]) and services (e.g., web, mail, Domain Name System [DNS]) and how they interact to provide network communications",Infrastructure Design,"Install and maintain network services like messaging and email, DNS and Web Servers"
NET265,1121,Knowledge of Windows/Unix ports and services,Operating Systems,"Install and maintain network services like messaging and email, DNS and Web Servers"
NET265,96,Knowledge of performance tuning tools and techniques,Information Technology Performance Assessment,Perform System monitoring and performance management
NET265,211,Skill in monitoring and optimizing server performance,Information Technology Performance Assessment,Perform System monitoring and performance management
NET265,1073,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools",Network Management,Perform System monitoring and performance management
NET320,1008,Knowledge of how to troubleshoot basic systems and identify operating systems-related issues,Operating Systems,Develop programs to troubleshoot services and apply networking tools
NET320,1042,Abililty to apply network programming towards client/server model,Requirements Analysis,Learn multiple approaches to a network programming problem and be able to choose and effective solution
NET320,124,"Knowledge of system design tools, methods, and techniques, including automated system analysis and design tools",Logical Systems Design,Write programs to analyze network systems and services
FOR270,1092,"Knowledge of anti-forensics tactics, techniques, and procedures (TTPs)",Computer Forensics,1.  Compare and Contrast different anti-?-forensics methods and techniques
FOR270,1093,"Knowledge of common forensic tool configuration and support applications (e.g., VMWare, Wireshark)",Computer Forensics,10. Describe the operation and use of a packet sniffer in network investigations
FOR270,369,"Skill in collecting, processing, packaging, transporting and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data.",Forensics,3. Explain how the use of anti-forensics can undermine the credibility and veracity of digital evidence
FOR270,360,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics)",Computer Forensics,"4. Examine and demonstrate techniques used to analyze and enhance digital images, sound and video."
FOR270,888,Knowledge of types of digital forensics data and how to recognize them,Computer Forensics,"4. Examine and demonstrate techniques used to analyze and enhance digital images, sound and video."
FOR270,27,Knowledge of cryptology,Cryptography,5. Classify different types of cryptography
FOR270,1114,Knowledge of encryption methodologies,Cryptography,5. Classify different types of cryptography
FOR270,908,Ability to decrypt digital data collections,Computer Forensics,6. Describe methods of cryptanalysis
FOR270,24,Knowledge of concepts and practices of processing digital forensic data,Data Management,9. Identify issues related to forensic investigation of computer networks
 ,58,"Knowledge of known vulnerabilities from alerts, advisories, errata, and bulletins ",Information Systems/Network Security,Analyze the security vulnerabilities of various web applications and operating systems
SEC335,108,"Knowledge of risk management processes, including steps and methods for assessing risk",Risk Management,Analyze the security vulnerabilities of various web applications and operating systems
SEC335,160,Skill in assessing the robustness of security systems and designs,Vulnerabilities Assessment,Analyze the security vulnerabilities of various web applications and operating systems
SEC335,199,Skill in evaluating the adequacy of security designs,Vulnerabilities Assessment,Analyze the security vulnerabilities of various web applications and operating systems
SEC335,294,Knowledge of hacking methodologies in Windows or Unix/Linux environment,Surveillance,Analyze the security vulnerabilities of various web applications and operating systems
SEC335,19,"Knowledge of Computer Network Defense tools, including open source tools, and their capabilities",Computer Network Defense,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization"
SEC335,49,"Knowledge of host/network access controls (e.g., access control list)",Information Systems/Network Security,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization"
SEC335,177,Skill in designing countermeasures to identified security risks,Vulnerabilities Assessment,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization"
SEC335,179,Skill in designing security controls based on information assurance (IA) principles and tenets,Information Assurance,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization"
SEC335,191,Skill in developing and applying security system access controls,Identity Management,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization"
SEC335,968,"Knowledge of software-related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization)",Information Systems/Network Security,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization"
SEC335,1033,"Knowledge of basic system administration, network, and operating system hardening techniques",Information Systems/Network Security,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization"
SEC335,70,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption)",Information Systems/Network Security,"Apply best practices for securing network operating systems, databases, and web applications to the specific needs of an organization; Describe the process for maintaining secure software and Internet server systems"
SEC335,173,Skill in creating policies that relfect system security objectives,Information Systems Security Certification,Articulate best practices and user policies related to developing software systems and installing Internet server applications
